id,name,ram,disk,bandwidth,price,driver_name
a1.2xlarge,a1.2xlarge,16384,0,10.0,0.0,Amazon EC2
a1.4xlarge,a1.4xlarge,32768,0,10.0,0.408,Amazon EC2
a1.large,a1.large,4096,0,10.0,0.051,Amazon EC2
a1.medium,a1.medium,2048,0,10.0,0.0,Amazon EC2
a1.xlarge,a1.xlarge,8192,0,10.0,0.102,Amazon EC2
c1.medium,c1.medium,1740,350,,0.13,Amazon EC2
c1.xlarge,c1.xlarge,7168,1680,,0.52,Amazon EC2
c3.2xlarge,c3.2xlarge,15360,160,,0.42,Amazon EC2
c3.4xlarge,c3.4xlarge,30720,320,,0.0,Amazon EC2
c3.8xlarge,c3.8xlarge,61440,640,10.0,0.0,Amazon EC2
c3.large,c3.large,3840,32,,0.116,Amazon EC2
c3.xlarge,c3.xlarge,7680,80,,0.21,Amazon EC2
c4.2xlarge,c4.2xlarge,15360,0,,0.398,Amazon EC2
c4.4xlarge,c4.4xlarge,30720,0,,0.796,Amazon EC2
c4.8xlarge,c4.8xlarge,61440,0,10.0,0.0,Amazon EC2
c4.large,c4.large,3840,0,,0.11,Amazon EC2
c4.xlarge,c4.xlarge,7680,0,,0.199,Amazon EC2
c5.12xlarge,c5.12xlarge,98304,0,12.0,2.162,Amazon EC2
c5.18xlarge,c5.18xlarge,147456,0,25.0,3.06,Amazon EC2
c5.24xlarge,c5.24xlarge,196608,0,25.0,4.08,Amazon EC2
c5.2xlarge,c5.2xlarge,16384,0,10.0,0.34,Amazon EC2
c5.4xlarge,c5.4xlarge,32768,0,10.0,0.68,Amazon EC2
c5.9xlarge,c5.9xlarge,73728,0,10.0,0.0,Amazon EC2
c5.large,c5.large,4096,0,10.0,0.0,Amazon EC2
c5.xlarge,c5.xlarge,8192,0,10.0,0.17,Amazon EC2
c5a.12xlarge,c5a.12xlarge,98304,0,12.0,1.848,Amazon EC2
c5a.16xlarge,c5a.16xlarge,131072,0,20.0,2.464,Amazon EC2
c5a.24xlarge,c5a.24xlarge,196608,0,20.0,3.696,Amazon EC2
c5a.2xlarge,c5a.2xlarge,16384,0,10.0,0.308,Amazon EC2
c5a.4xlarge,c5a.4xlarge,32768,0,10.0,0.616,Amazon EC2
c5a.8xlarge,c5a.8xlarge,65536,0,10.0,1.232,Amazon EC2
c5a.large,c5a.large,4096,0,10.0,0.077,Amazon EC2
c5a.xlarge,c5a.xlarge,8192,0,10.0,0.154,Amazon EC2
c5ad.12xlarge,c5ad.12xlarge,98304,1800,12.0,2.064,Amazon EC2
c5ad.16xlarge,c5ad.16xlarge,131072,2400,20.0,2.752,Amazon EC2
c5ad.24xlarge,c5ad.24xlarge,196608,3800,20.0,4.128,Amazon EC2
c5ad.2xlarge,c5ad.2xlarge,16384,300,10.0,0.344,Amazon EC2
c5ad.4xlarge,c5ad.4xlarge,32768,600,10.0,0.688,Amazon EC2
c5ad.8xlarge,c5ad.8xlarge,65536,1200,10.0,1.376,Amazon EC2
c5ad.large,c5ad.large,4096,75,10.0,0.086,Amazon EC2
c5ad.xlarge,c5ad.xlarge,8192,150,10.0,0.172,Amazon EC2
c5d.12xlarge,c5d.12xlarge,98304,1800,12.0,2.304,Amazon EC2
c5d.18xlarge,c5d.18xlarge,147456,1800,25.0,3.456,Amazon EC2
c5d.24xlarge,c5d.24xlarge,196608,3600,25.0,4.608,Amazon EC2
c5d.2xlarge,c5d.2xlarge,16384,200,10.0,0.0,Amazon EC2
c5d.4xlarge,c5d.4xlarge,32768,400,10.0,0.0,Amazon EC2
c5d.9xlarge,c5d.9xlarge,73728,900,10.0,1.832,Amazon EC2
c5d.large,c5d.large,4096,50,10.0,0.0,Amazon EC2
c5d.xlarge,c5d.xlarge,8192,100,10.0,0.0,Amazon EC2
c5n.18xlarge,c5n.18xlarge,196608,0,100.0,0.0,Amazon EC2
c5n.2xlarge,c5n.2xlarge,21504,0,25.0,0.0,Amazon EC2
c5n.4xlarge,c5n.4xlarge,43008,0,25.0,0.864,Amazon EC2
c5n.9xlarge,c5n.9xlarge,98304,0,50.0,1.944,Amazon EC2
c5n.large,c5n.large,5376,0,25.0,0.108,Amazon EC2
c5n.xlarge,c5n.xlarge,10752,0,25.0,0.216,Amazon EC2
c6a.12xlarge,c6a.12xlarge,98304,0,18750.0,0.0,Amazon EC2
c6a.16xlarge,c6a.16xlarge,131072,0,25000.0,2.6928,Amazon EC2
c6a.24xlarge,c6a.24xlarge,196608,0,37500.0,0.0,Amazon EC2
c6a.2xlarge,c6a.2xlarge,16384,0,12500.0,0.3366,Amazon EC2
c6a.32xlarge,c6a.32xlarge,262144,0,50000.0,0.0,Amazon EC2
c6a.48xlarge,c6a.48xlarge,393216,0,50000.0,7.344,Amazon EC2
c6a.4xlarge,c6a.4xlarge,32768,0,12500.0,0.612,Amazon EC2
c6a.8xlarge,c6a.8xlarge,65536,0,12500.0,1.224,Amazon EC2
c6a.large,c6a.large,4096,0,12500.0,0.0765,Amazon EC2
c6a.xlarge,c6a.xlarge,8192,0,12500.0,0.1683,Amazon EC2
c6g.12xlarge,c6g.12xlarge,98304,0,20.0,0.0,Amazon EC2
c6g.16xlarge,c6g.16xlarge,131072,0,25.0,2.176,Amazon EC2
c6g.2xlarge,c6g.2xlarge,16384,0,10.0,0.0,Amazon EC2
c6g.4xlarge,c6g.4xlarge,32768,0,10.0,0.0,Amazon EC2
c6g.8xlarge,c6g.8xlarge,65536,0,12.0,1.1533,Amazon EC2
c6g.large,c6g.large,4096,0,10.0,0.068,Amazon EC2
c6g.medium,c6g.medium,2048,0,10.0,0.0,Amazon EC2
c6g.xlarge,c6g.xlarge,8192,0,10.0,0.1442,Amazon EC2
c6gd.12xlarge,c6gd.12xlarge,98304,2850,20.0,0.0,Amazon EC2
c6gd.16xlarge,c6gd.16xlarge,131072,3800,25.0,2.6051,Amazon EC2
c6gd.2xlarge,c6gd.2xlarge,16384,475,10.0,0.3072,Amazon EC2
c6gd.4xlarge,c6gd.4xlarge,32768,950,10.0,0.0,Amazon EC2
c6gd.8xlarge,c6gd.8xlarge,65536,1900,12.0,1.3025,Amazon EC2
c6gd.large,c6gd.large,4096,118,10.0,0.0768,Amazon EC2
c6gd.medium,c6gd.medium,2048,59,10.0,0.0384,Amazon EC2
c6gd.xlarge,c6gd.xlarge,8192,237,10.0,0.1536,Amazon EC2
c6gn.12xlarge,c6gn.12xlarge,98304,0,75.0,2.28096,Amazon EC2
c6gn.16xlarge,c6gn.16xlarge,131072,0,100.0,0.0,Amazon EC2
c6gn.2xlarge,c6gn.2xlarge,16384,0,25.0,0.3456,Amazon EC2
c6gn.4xlarge,c6gn.4xlarge,32768,0,25.0,0.76032,Amazon EC2
c6gn.8xlarge,c6gn.8xlarge,65536,0,50.0,1.3824,Amazon EC2
c6gn.large,c6gn.large,4096,0,25.0,0.09504,Amazon EC2
c6gn.medium,c6gn.medium,2048,0,25.0,0.04752,Amazon EC2
c6gn.xlarge,c6gn.xlarge,8192,0,25.0,0.19008,Amazon EC2
c6i.12xlarge,c6i.12xlarge,98304,0,18750.0,0.0,Amazon EC2
c6i.16xlarge,c6i.16xlarge,131072,0,25000.0,0.0,Amazon EC2
c6i.24xlarge,c6i.24xlarge,196608,0,37500.0,4.488,Amazon EC2
c6i.2xlarge,c6i.2xlarge,16384,0,12500.0,0.34,Amazon EC2
c6i.32xlarge,c6i.32xlarge,262144,0,50000.0,5.44,Amazon EC2
c6i.4xlarge,c6i.4xlarge,32768,0,12500.0,0.68,Amazon EC2
c6i.8xlarge,c6i.8xlarge,65536,0,12500.0,1.496,Amazon EC2
c6i.large,c6i.large,4096,0,12500.0,0.0935,Amazon EC2
c6i.xlarge,c6i.xlarge,8192,0,12500.0,0.17,Amazon EC2
c6id.12xlarge,c6id.12xlarge,98304,2850,18750.0,2.4192,Amazon EC2
c6id.16xlarge,c6id.16xlarge,131072,3800,25000.0,0.0,Amazon EC2
c6id.24xlarge,c6id.24xlarge,196608,5700,37500.0,4.8384,Amazon EC2
c6id.2xlarge,c6id.2xlarge,16384,474,12500.0,0.44352,Amazon EC2
c6id.32xlarge,c6id.32xlarge,262144,7600,50000.0,6.4512,Amazon EC2
c6id.4xlarge,c6id.4xlarge,32768,950,12500.0,0.88704,Amazon EC2
c6id.8xlarge,c6id.8xlarge,65536,1900,12500.0,1.77408,Amazon EC2
c6id.large,c6id.large,4096,118,12500.0,0.11088,Amazon EC2
c6id.xlarge,c6id.xlarge,8192,237,12500.0,0.0,Amazon EC2
c6in.12xlarge,c6in.12xlarge,98304,0,75000.0,2.7216,Amazon EC2
c6in.16xlarge,c6in.16xlarge,131072,0,100000.0,3.99168,Amazon EC2
c6in.24xlarge,c6in.24xlarge,196608,0,150000.0,0.0,Amazon EC2
c6in.2xlarge,c6in.2xlarge,16384,0,40000.0,0.4536,Amazon EC2
c6in.32xlarge,c6in.32xlarge,262144,0,200000.0,7.2576,Amazon EC2
c6in.4xlarge,c6in.4xlarge,32768,0,50000.0,0.0,Amazon EC2
c6in.8xlarge,c6in.8xlarge,65536,0,50000.0,1.8144,Amazon EC2
c6in.large,c6in.large,4096,0,25000.0,0.0,Amazon EC2
c6in.xlarge,c6in.xlarge,8192,0,30000.0,0.24948,Amazon EC2
c7g.12xlarge,c7g.12xlarge,98304,0,22500.0,1.74,Amazon EC2
c7g.16xlarge,c7g.16xlarge,131072,0,30.0,2.32,Amazon EC2
c7g.2xlarge,c7g.2xlarge,16384,0,15.0,0.29,Amazon EC2
c7g.4xlarge,c7g.4xlarge,32768,0,15.0,0.58,Amazon EC2
c7g.8xlarge,c7g.8xlarge,65536,0,15.0,1.16,Amazon EC2
c7g.large,c7g.large,4096,0,12500.0,0.0725,Amazon EC2
c7g.medium,c7g.medium,2048,0,12500.0,0.0363,Amazon EC2
c7g.xlarge,c7g.xlarge,8192,0,12500.0,0.145,Amazon EC2
c7gd.12xlarge,c7gd.12xlarge,98304,2850,22500.0,0.0,Amazon EC2
c7gd.16xlarge,c7gd.16xlarge,131072,3800,30.0,2.903,Amazon EC2
c7gd.2xlarge,c7gd.2xlarge,16384,475,15.0,0.3629,Amazon EC2
c7gd.4xlarge,c7gd.4xlarge,32768,950,15.0,0.0,Amazon EC2
c7gd.8xlarge,c7gd.8xlarge,65536,1900,15.0,1.5386,Amazon EC2
c7gd.large,c7gd.large,4096,118,12500.0,0.0962,Amazon EC2
c7gd.medium,c7gd.medium,2048,59,12500.0,0.0481,Amazon EC2
c7gd.xlarge,c7gd.xlarge,8192,237,12500.0,0.1923,Amazon EC2
c7gn.12xlarge,c7gn.12xlarge,98304,0,150.0,3.1749,Amazon EC2
c7gn.16xlarge,c7gn.16xlarge,131072,0,200.0,0.0,Amazon EC2
c7gn.2xlarge,c7gn.2xlarge,16384,0,50.0,0.4992,Amazon EC2
c7gn.4xlarge,c7gn.4xlarge,32768,0,50.0,0.0,Amazon EC2
c7gn.8xlarge,c7gn.8xlarge,65536,0,100.0,2.1166,Amazon EC2
c7gn.large,c7gn.large,4096,0,30.0,0.0,Amazon EC2
c7gn.medium,c7gn.medium,2048,0,25.0,0.0661,Amazon EC2
c7gn.xlarge,c7gn.xlarge,8192,0,40.0,0.0,Amazon EC2
cc2.8xlarge,cc2.8xlarge,61952,3360,10.0,2.0,Amazon EC2
cr1.8xlarge,cr1.8xlarge,249856,240,10.0,3.5,Amazon EC2
d2.2xlarge,d2.2xlarge,62464,12000,,1.38,Amazon EC2
d2.4xlarge,d2.4xlarge,124928,24000,,0.0,Amazon EC2
d2.8xlarge,d2.8xlarge,249856,48000,10.0,5.52,Amazon EC2
d2.xlarge,d2.xlarge,31232,6000,,0.759,Amazon EC2
d3.2xlarge,d3.2xlarge,65536,12000,15.0,0.999,Amazon EC2
d3.4xlarge,d3.4xlarge,131072,24000,15.0,1.998,Amazon EC2
d3.8xlarge,d3.8xlarge,262144,48000,25.0,3.99552,Amazon EC2
d3.xlarge,d3.xlarge,32768,6000,15.0,0.499,Amazon EC2
d3en.12xlarge,d3en.12xlarge,196608,336000,75.0,6.30864,Amazon EC2
d3en.2xlarge,d3en.2xlarge,32768,56000,25.0,1.051,Amazon EC2
d3en.4xlarge,d3en.4xlarge,65536,112000,25.0,2.103,Amazon EC2
d3en.6xlarge,d3en.6xlarge,98304,168000,40.0,3.154,Amazon EC2
d3en.8xlarge,d3en.8xlarge,131072,224000,50.0,4.20576,Amazon EC2
d3en.xlarge,d3en.xlarge,16384,28000,25.0,0.526,Amazon EC2
dl1.24xlarge,dl1.24xlarge,786432,4000,400.0,0.0,Amazon EC2
f1.16xlarge,f1.16xlarge,999424,3760,25.0,13.2,Amazon EC2
f1.2xlarge,f1.2xlarge,124928,470,10.0,1.65,Amazon EC2
f1.4xlarge,f1.4xlarge,249856,940,10.0,3.63,Amazon EC2
g2.2xlarge,g2.2xlarge,15360,60,,0.0,Amazon EC2
g2.8xlarge,g2.8xlarge,61440,240,,2.6,Amazon EC2
g3.16xlarge,g3.16xlarge,499712,0,20.0,4.56,Amazon EC2
g3.4xlarge,g3.4xlarge,124928,0,10.0,1.254,Amazon EC2
g3.8xlarge,g3.8xlarge,249856,0,10.0,2.28,Amazon EC2
g3s.xlarge,g3s.xlarge,31232,0,10.0,0.75,Amazon EC2
g4ad.16xlarge,g4ad.16xlarge,262144,2400,25.0,3.468,Amazon EC2
g4ad.2xlarge,g4ad.2xlarge,32768,300,10.0,0.54117,Amazon EC2
g4ad.4xlarge,g4ad.4xlarge,65536,600,10.0,0.9537,Amazon EC2
g4ad.8xlarge,g4ad.8xlarge,131072,1200,15.0,1.9074,Amazon EC2
g4ad.xlarge,g4ad.xlarge,16384,150,10.0,0.37853,Amazon EC2
g4dn.12xlarge,g4dn.12xlarge,196608,900,50.0,4.147,Amazon EC2
g4dn.16xlarge,g4dn.16xlarge,262144,900,50.0,4.613,Amazon EC2
g4dn.2xlarge,g4dn.2xlarge,32768,225,25.0,0.797,Amazon EC2
g4dn.4xlarge,g4dn.4xlarge,65536,225,25.0,1.276,Amazon EC2
g4dn.8xlarge,g4dn.8xlarge,131072,900,50.0,2.307,Amazon EC2
g4dn.xlarge,g4dn.xlarge,16384,125,25.0,0.558,Amazon EC2
g5.12xlarge,g5.12xlarge,196608,3800,40.0,0.0,Amazon EC2
g5.16xlarge,g5.16xlarge,262144,1900,25.0,4.096,Amazon EC2
g5.24xlarge,g5.24xlarge,393216,3800,50.0,0.0,Amazon EC2
g5.2xlarge,g5.2xlarge,32768,450,10.0,1.212,Amazon EC2
g5.48xlarge,g5.48xlarge,786432,7600,100.0,17.9168,Amazon EC2
g5.4xlarge,g5.4xlarge,65536,600,25.0,0.0,Amazon EC2
g5.8xlarge,g5.8xlarge,131072,900,25.0,2.6928,Amazon EC2
g5.xlarge,g5.xlarge,16384,250,10.0,1.006,Amazon EC2
g5g.16xlarge,g5g.16xlarge,131072,0,25.0,0.0,Amazon EC2
g5g.2xlarge,g5g.2xlarge,16384,0,10.0,0.0,Amazon EC2
g5g.4xlarge,g5g.4xlarge,32768,0,10.0,0.828,Amazon EC2
g5g.8xlarge,g5g.8xlarge,65536,0,12.0,1.372,Amazon EC2
g5g.xlarge,g5g.xlarge,8192,0,10.0,0.4452,Amazon EC2
h1.16xlarge,h1.16xlarge,262144,16000,25.0,0.0,Amazon EC2
h1.2xlarge,h1.2xlarge,32768,2000,10.0,0.0,Amazon EC2
h1.4xlarge,h1.4xlarge,65536,4000,10.0,1.171,Amazon EC2
h1.8xlarge,h1.8xlarge,131072,8000,10.0,2.342,Amazon EC2
hpc7g.16xlarge,hpc7g.16xlarge,131072,0,200.0,1.6832,Amazon EC2
hpc7g.4xlarge,hpc7g.4xlarge,131072,0,200.0,1.6832,Amazon EC2
hpc7g.8xlarge,hpc7g.8xlarge,131072,0,200.0,1.6832,Amazon EC2
hs1.8xlarge,hs1.8xlarge,119808,48000,10.0,4.6,Amazon EC2
i2.2xlarge,i2.2xlarge,62464,1600,,1.876,Amazon EC2
i2.4xlarge,i2.4xlarge,124928,3200,,3.41,Amazon EC2
i2.8xlarge,i2.8xlarge,249856,6400,10.0,6.82,Amazon EC2
i2.large,i2.large,15360,800,,0.468,Amazon EC2
i2.xlarge,i2.xlarge,31232,800,,0.0,Amazon EC2
i3.16xlarge,i3.16xlarge,499712,15200,20.0,4.992,Amazon EC2
i3.2xlarge,i3.2xlarge,62464,1900,10.0,0.686,Amazon EC2
i3.4xlarge,i3.4xlarge,124928,3800,10.0,0.0,Amazon EC2
i3.8xlarge,i3.8xlarge,249856,7600,10.0,2.746,Amazon EC2
i3.large,i3.large,15616,475,10.0,0.156,Amazon EC2
i3.xlarge,i3.xlarge,31232,950,10.0,0.343,Amazon EC2
i3en.12xlarge,i3en.12xlarge,393216,30000,50.0,5.776,Amazon EC2
i3en.24xlarge,i3en.24xlarge,786432,60000,100.0,10.848,Amazon EC2
i3en.2xlarge,i3en.2xlarge,65536,5000,25.0,0.0,Amazon EC2
i3en.3xlarge,i3en.3xlarge,98304,7500,25.0,0.0,Amazon EC2
i3en.6xlarge,i3en.6xlarge,196608,15000,25.0,2.888,Amazon EC2
i3en.large,i3en.large,16384,1250,25.0,0.241,Amazon EC2
i3en.xlarge,i3en.xlarge,32768,2500,25.0,0.0,Amazon EC2
i4g.16xlarge,i4g.16xlarge,524288,15000,37500.0,4.94208,Amazon EC2
i4g.2xlarge,i4g.2xlarge,65536,1875,12.0,0.61776,Amazon EC2
i4g.4xlarge,i4g.4xlarge,131072,3750,25.0,1.23552,Amazon EC2
i4g.8xlarge,i4g.8xlarge,262144,7500,18750.0,0.0,Amazon EC2
i4g.large,i4g.large,16384,468,10.0,0.0,Amazon EC2
i4g.xlarge,i4g.xlarge,32768,937,10.0,0.0,Amazon EC2
i4i.16xlarge,i4i.16xlarge,524288,15000,35000.0,6.04,Amazon EC2
i4i.2xlarge,i4i.2xlarge,65536,1875,12.0,0.0,Amazon EC2
i4i.32xlarge,i4i.32xlarge,1048576,30000,75000.0,10.9824,Amazon EC2
i4i.4xlarge,i4i.4xlarge,131072,3750,25.0,1.373,Amazon EC2
i4i.8xlarge,i4i.8xlarge,262144,7500,18750.0,0.0,Amazon EC2
i4i.large,i4i.large,16384,468,10.0,0.172,Amazon EC2
i4i.xlarge,i4i.xlarge,32768,937,10.0,0.343,Amazon EC2
im4gn.16xlarge,im4gn.16xlarge,262144,30000,100.0,5.82067,Amazon EC2
im4gn.2xlarge,im4gn.2xlarge,32768,3750,25.0,0.72758,Amazon EC2
im4gn.4xlarge,im4gn.4xlarge,65536,7500,25.0,1.45517,Amazon EC2
im4gn.8xlarge,im4gn.8xlarge,131072,15000,50.0,2.91034,Amazon EC2
im4gn.large,im4gn.large,8192,937,25.0,0.0,Amazon EC2
im4gn.xlarge,im4gn.xlarge,16384,1875,25.0,0.40017,Amazon EC2
inf1.24xlarge,inf1.24xlarge,196608,0,100.0,5.005,Amazon EC2
inf1.2xlarge,inf1.2xlarge,16384,0,25.0,0.384,Amazon EC2
inf1.6xlarge,inf1.6xlarge,49152,0,25.0,1.18,Amazon EC2
inf1.xlarge,inf1.xlarge,8192,0,25.0,0.242,Amazon EC2
inf2.24xlarge,inf2.24xlarge,393216,0,50.0,0.0,Amazon EC2
inf2.48xlarge,inf2.48xlarge,786432,0,100.0,0.0,Amazon EC2
inf2.8xlarge,inf2.8xlarge,131072,0,25.0,2.16465,Amazon EC2
inf2.xlarge,inf2.xlarge,16384,0,15.0,0.0,Amazon EC2
is4gen.2xlarge,is4gen.2xlarge,49152,7500,25.0,1.1526,Amazon EC2
is4gen.4xlarge,is4gen.4xlarge,98304,15000,25.0,2.3052,Amazon EC2
is4gen.8xlarge,is4gen.8xlarge,196608,30000,50.0,4.6104,Amazon EC2
is4gen.large,is4gen.large,12288,1875,25.0,0.28815,Amazon EC2
is4gen.medium,is4gen.medium,6144,937,25.0,0.14408,Amazon EC2
is4gen.xlarge,is4gen.xlarge,24576,3750,25.0,0.5763,Amazon EC2
m1.large,m1.large,7680,840,,0.175,Amazon EC2
m1.medium,m1.medium,3840,410,,0.087,Amazon EC2
m1.small,m1.small,1740,160,,0.044,Amazon EC2
m1.xlarge,m1.xlarge,15360,1680,,0.35,Amazon EC2
m2.2xlarge,m2.2xlarge,35020,850,,0.49,Amazon EC2
m2.4xlarge,m2.4xlarge,70041,1680,,0.98,Amazon EC2
m2.xlarge,m2.xlarge,17510,420,,0.245,Amazon EC2
m3.2xlarge,m3.2xlarge,30720,160,,0.0,Amazon EC2
m3.large,m3.large,7680,32,,0.0,Amazon EC2
m3.medium,m3.medium,3840,4,,0.074,Amazon EC2
m3.xlarge,m3.xlarge,15360,80,,0.266,Amazon EC2
m4.10xlarge,m4.10xlarge,163840,0,10.0,2.0,Amazon EC2
m4.16xlarge,m4.16xlarge,262144,0,20.0,3.2,Amazon EC2
m4.2xlarge,m4.2xlarge,32768,0,,0.44,Amazon EC2
m4.4xlarge,m4.4xlarge,65536,0,,0.0,Amazon EC2
m4.large,m4.large,8192,0,,0.1,Amazon EC2
m4.xlarge,m4.xlarge,16384,0,,0.2,Amazon EC2
m5.12xlarge,m5.12xlarge,196608,0,10.0,2.444,Amazon EC2
m5.16xlarge,m5.16xlarge,262144,0,20.0,3.259,Amazon EC2
m5.24xlarge,m5.24xlarge,393216,0,25.0,4.608,Amazon EC2
m5.2xlarge,m5.2xlarge,32768,0,10.0,0.384,Amazon EC2
m5.4xlarge,m5.4xlarge,65536,0,10.0,0.815,Amazon EC2
m5.8xlarge,m5.8xlarge,131072,0,10.0,0.0,Amazon EC2
m5.large,m5.large,8192,0,10.0,0.102,Amazon EC2
m5.xlarge,m5.xlarge,16384,0,10.0,0.0,Amazon EC2
m5a.12xlarge,m5a.12xlarge,196608,0,10.0,2.064,Amazon EC2
m5a.16xlarge,m5a.16xlarge,262144,0,12.0,2.752,Amazon EC2
m5a.24xlarge,m5a.24xlarge,393216,0,20.0,4.128,Amazon EC2
m5a.2xlarge,m5a.2xlarge,32768,0,10.0,0.344,Amazon EC2
m5a.4xlarge,m5a.4xlarge,65536,0,10.0,0.688,Amazon EC2
m5a.8xlarge,m5a.8xlarge,131072,0,10.0,1.376,Amazon EC2
m5a.large,m5a.large,8192,0,10.0,0.086,Amazon EC2
m5a.xlarge,m5a.xlarge,16384,0,10.0,0.172,Amazon EC2
m5ad.12xlarge,m5ad.12xlarge,196608,1800,10.0,2.472,Amazon EC2
m5ad.16xlarge,m5ad.16xlarge,262144,2400,12.0,3.296,Amazon EC2
m5ad.24xlarge,m5ad.24xlarge,393216,3600,20.0,4.944,Amazon EC2
m5ad.2xlarge,m5ad.2xlarge,32768,300,10.0,0.412,Amazon EC2
m5ad.4xlarge,m5ad.4xlarge,65536,600,10.0,0.824,Amazon EC2
m5ad.8xlarge,m5ad.8xlarge,131072,1200,10.0,1.648,Amazon EC2
m5ad.large,m5ad.large,8192,75,10.0,0.103,Amazon EC2
m5ad.xlarge,m5ad.xlarge,16384,150,10.0,0.206,Amazon EC2
m5d.12xlarge,m5d.12xlarge,196608,1800,10.0,2.876,Amazon EC2
m5d.16xlarge,m5d.16xlarge,262144,2400,20.0,3.616,Amazon EC2
m5d.24xlarge,m5d.24xlarge,393216,3600,25.0,5.424,Amazon EC2
m5d.2xlarge,m5d.2xlarge,32768,300,10.0,0.0,Amazon EC2
m5d.4xlarge,m5d.4xlarge,65536,600,10.0,0.0,Amazon EC2
m5d.8xlarge,m5d.8xlarge,131072,1200,10.0,1.808,Amazon EC2
m5d.large,m5d.large,8192,75,10.0,0.12,Amazon EC2
m5d.xlarge,m5d.xlarge,16384,150,10.0,0.226,Amazon EC2
m5dn.12xlarge,m5dn.12xlarge,196608,1800,50.0,0.0,Amazon EC2
m5dn.16xlarge,m5dn.16xlarge,262144,2400,75.0,0.0,Amazon EC2
m5dn.24xlarge,m5dn.24xlarge,393216,3600,100.0,0.0,Amazon EC2
m5dn.2xlarge,m5dn.2xlarge,32768,300,25.0,0.0,Amazon EC2
m5dn.4xlarge,m5dn.4xlarge,65536,600,25.0,1.154,Amazon EC2
